order_id,product_id,batch_id,ingestion_timestamp,line_amount,quantity,source_file,store_id,unit_price,order_item_sk,silver_processed_at
O00001,P007,20260603,2026-06-03T17:39:02.237833,60.0,1,order_items_S004_20260603.json,S004,60.0,S004_O00001_P007,2026-06-03T17:41:55.922Z
O00001,P019,20260603,2026-06-03T17:39:02.237833,20.0,1,order_items_S004_20260603.json,S004,20.0,S004_O00001_P019,2026-06-03T17:41:55.922Z
O00002,P003,20260603,2026-06-03T17:39:02.237833,1497.0,3,order_items_S004_20260603.json,S004,499.0,S004_O00002_P003,2026-06-03T17:41:55.922Z
O00002,P007,20260603,2026-06-03T17:39:02.237833,60.0,1,order_items_S004_20260603.json,S004,60.0,S004_O00002_P007,2026-06-03T17:41:55.922Z
O00003,P013,20260603,2026-06-03T17:39:02.237833,747.0,3,order_items_S004_20260603.json,S004,249.0,S004_O00003_P013,2026-06-03T17:41:55.922Z
O00004,P001,20260603,2026-06-03T17:39:02.237833,897.0,3,order_items_S004_20260603.json,S004,299.0,S004_O00004_P001,2026-06-03T17:41:55.922Z
O00004,P016,20260603,2026-06-03T17:39:02.237833,598.0,2,order_items_S004_20260603.json,S004,299.0,S004_O00004_P016,2026-06-03T17:41:55.922Z
O00005,P003,20260603,2026-06-03T17:39:02.237833,998.0,2,order_items_S004_20260603.json,S004,499.0,S004_O00005_P003,2026-06-03T17:41:55.922Z
O00006,P002,20260603,2026-06-03T17:39:02.237833,1197.0,3,order_items_S004_20260603.json,S004,399.0,S004_O00006_P002,2026-06-03T17:41:55.922Z
O00006,P006,20260603,2026-06-03T17:39:02.237833,398.0,2,order_items_S004_20260603.json,S004,199.0,S004_O00006_P006,2026-06-03T17:41:55.922Z
O00006,P007,20260603,2026-06-03T17:39:02.237833,60.0,1,order_items_S004_20260603.json,S004,60.0,S004_O00006_P007,2026-06-03T17:41:55.922Z
O00006,P013,20260603,2026-06-03T17:39:02.237833,747.0,3,order_items_S004_20260603.json,S004,249.0,S004_O00006_P013,2026-06-03T17:41:55.922Z
O00007,P002,20260603,2026-06-03T17:39:02.237833,1197.0,3,order_items_S004_20260603.json,S004,399.0,S004_O00007_P002,2026-06-03T17:41:55.922Z
O00007,P007,20260603,2026-06-03T17:39:02.237833,120.0,2,order_items_S004_20260603.json,S004,60.0,S004_O00007_P007,2026-06-03T17:41:55.922Z
O00007,P008,20260603,2026-06-03T17:39:02.237833,180.0,3,order_items_S004_20260603.json,S004,60.0,S004_O00007_P008,2026-06-03T17:41:55.922Z
O00007,P013,20260603,2026-06-03T17:39:02.237833,747.0,3,order_items_S004_20260603.json,S004,249.0,S004_O00007_P013,2026-06-03T17:41:55.922Z
O00008,P001,20260603,2026-06-03T17:39:02.237833,897.0,3,order_items_S004_20260603.json,S004,299.0,S004_O00008_P001,2026-06-03T17:41:55.922Z
O00008,P002,20260603,2026-06-03T17:39:02.237833,798.0,2,order_items_S004_20260603.json,S004,399.0,S004_O00008_P002,2026-06-03T17:41:55.922Z
O00008,P005,20260603,2026-06-03T17:39:02.237833,298.0,2,order_items_S004_20260603.json,S004,149.0,S004_O00008_P005,2026-06-03T17:41:55.922Z
O00009,P003,20260603,2026-06-03T17:39:02.237833,998.0,2,order_items_S004_20260603.json,S004,499.0,S004_O00009_P003,2026-06-03T17:41:55.922Z
O00009,P010,20260603,2026-06-03T17:39:02.237833,387.0,3,order_items_S004_20260603.json,S004,129.0,S004_O00009_P010,2026-06-03T17:41:55.922Z
O00009,P012,20260603,2026-06-03T17:39:02.237833,49.0,1,order_items_S004_20260603.json,S004,49.0,S004_O00009_P012,2026-06-03T17:41:55.922Z
