batch_id,closing_stock,ingestion_timestamp,inventory_date,inventory_id,opening_stock,product_id,sold_qty,source_file,store_id,inventory_sk,inventory_status,silver_processed_at,actual_sold_qty
20260603,712,2026-06-03T17:39:00.876080,2026-06-03,INV_P010,841,P010,129,inventory_S003_20260603.json,S003,S003_INV_P010,Healthy,2026-06-03T17:42:00.903Z,129
20260603,218,2026-06-03T17:39:00.876080,2026-06-03,INV_P007,613,P007,395,inventory_S003_20260603.json,S003,S003_INV_P007,Healthy,2026-06-03T17:42:00.903Z,395
20260603,764,2026-06-03T17:39:00.876080,2026-06-03,INV_P006,931,P006,167,inventory_S003_20260603.json,S003,S003_INV_P006,Healthy,2026-06-03T17:42:00.903Z,167
20260603,638,2026-06-03T17:39:00.876080,2026-06-03,INV_P012,759,P012,121,inventory_S003_20260603.json,S003,S003_INV_P012,Healthy,2026-06-03T17:42:00.903Z,121
20260603,903,2026-06-03T17:39:00.876080,2026-06-03,INV_P019,954,P019,51,inventory_S003_20260603.json,S003,S003_INV_P019,Healthy,2026-06-03T17:42:00.903Z,51
20260603,294,2026-06-03T17:39:00.876080,2026-06-03,INV_P004,542,P004,248,inventory_S003_20260603.json,S003,S003_INV_P004,Healthy,2026-06-03T17:42:00.903Z,248
20260603,394,2026-06-03T17:39:00.876080,2026-06-03,INV_P009,511,P009,117,inventory_S003_20260603.json,S003,S003_INV_P009,Healthy,2026-06-03T17:42:00.903Z,117
20260603,390,2026-06-03T17:39:00.876080,2026-06-03,INV_P001,915,P001,525,inventory_S003_20260603.json,S003,S003_INV_P001,Healthy,2026-06-03T17:42:00.903Z,525
20260603,692,2026-06-03T17:39:00.876080,2026-06-03,INV_P014,777,P014,85,inventory_S003_20260603.json,S003,S003_INV_P014,Healthy,2026-06-03T17:42:00.903Z,85
20260603,700,2026-06-03T17:39:00.876080,2026-06-03,INV_P016,762,P016,62,inventory_S003_20260603.json,S003,S003_INV_P016,Healthy,2026-06-03T17:42:00.903Z,62
20260603,627,2026-06-03T17:39:00.876080,2026-06-03,INV_P013,772,P013,145,inventory_S003_20260603.json,S003,S003_INV_P013,Healthy,2026-06-03T17:42:00.903Z,145
20260603,257,2026-06-03T17:39:00.876080,2026-06-03,INV_P002,563,P002,306,inventory_S003_20260603.json,S003,S003_INV_P002,Healthy,2026-06-03T17:42:00.903Z,306
20260603,399,2026-06-03T17:39:00.876080,2026-06-03,INV_P008,610,P008,211,inventory_S003_20260603.json,S003,S003_INV_P008,Healthy,2026-06-03T17:42:00.903Z,211
20260603,670,2026-06-03T17:39:00.876080,2026-06-03,INV_P011,767,P011,97,inventory_S003_20260603.json,S003,S003_INV_P011,Healthy,2026-06-03T17:42:00.903Z,97
20260603,634,2026-06-03T17:39:00.876080,2026-06-03,INV_P017,681,P017,47,inventory_S003_20260603.json,S003,S003_INV_P017,Healthy,2026-06-03T17:42:00.903Z,47
20260603,446,2026-06-03T17:39:00.876080,2026-06-03,INV_P003,717,P003,271,inventory_S003_20260603.json,S003,S003_INV_P003,Healthy,2026-06-03T17:42:00.903Z,271
20260603,718,2026-06-03T17:39:00.876080,2026-06-03,INV_P005,922,P005,204,inventory_S003_20260603.json,S003,S003_INV_P005,Healthy,2026-06-03T17:42:00.903Z,204
20260603,849,2026-06-03T17:39:00.876080,2026-06-03,INV_P015,901,P015,52,inventory_S003_20260603.json,S003,S003_INV_P015,Healthy,2026-06-03T17:42:00.903Z,52
20260603,708,2026-06-03T17:39:00.876080,2026-06-03,INV_P018,794,P018,86,inventory_S003_20260603.json,S003,S003_INV_P018,Healthy,2026-06-03T17:42:00.903Z,86
20260603,755,2026-06-03T17:39:00.876080,2026-06-03,INV_P020,860,P020,105,inventory_S003_20260603.json,S003,S003_INV_P020,Healthy,2026-06-03T17:42:00.903Z,105
20260603,437,2026-06-03T17:38:57.867061,2026-06-03,INV_P014,552,P014,115,inventory_S006_20260603.json,S006,S006_INV_P014,Healthy,2026-06-03T17:42:00.903Z,115
20260603,814,2026-06-03T17:38:57.867061,2026-06-03,INV_P015,887,P015,73,inventory_S006_20260603.json,S006,S006_INV_P015,Healthy,2026-06-03T17:42:00.903Z,73
20260603,643,2026-06-03T17:38:57.867061,2026-06-03,INV_P016,717,P016,74,inventory_S006_20260603.json,S006,S006_INV_P016,Healthy,2026-06-03T17:42:00.903Z,74
20260603,607,2026-06-03T17:38:57.867061,2026-06-03,INV_P007,974,P007,367,inventory_S006_20260603.json,S006,S006_INV_P007,Healthy,2026-06-03T17:42:00.903Z,367
20260603,620,2026-06-03T17:38:57.867061,2026-06-03,INV_P018,701,P018,81,inventory_S006_20260603.json,S006,S006_INV_P018,Healthy,2026-06-03T17:42:00.903Z,81
20260603,658,2026-06-03T17:38:57.867061,2026-06-03,INV_P003,940,P003,282,inventory_S006_20260603.json,S006,S006_INV_P003,Healthy,2026-06-03T17:42:00.903Z,282
20260603,746,2026-06-03T17:38:57.867061,2026-06-03,INV_P011,834,P011,88,inventory_S006_20260603.json,S006,S006_INV_P011,Healthy,2026-06-03T17:42:00.903Z,88
20260603,733,2026-06-03T17:38:57.867061,2026-06-03,INV_P019,778,P019,45,inventory_S006_20260603.json,S006,S006_INV_P019,Healthy,2026-06-03T17:42:00.903Z,45
20260603,608,2026-06-03T17:38:57.867061,2026-06-03,INV_P006,772,P006,164,inventory_S006_20260603.json,S006,S006_INV_P006,Healthy,2026-06-03T17:42:00.903Z,164
20260603,465,2026-06-03T17:38:57.867061,2026-06-03,INV_P008,648,P008,183,inventory_S006_20260603.json,S006,S006_INV_P008,Healthy,2026-06-03T17:42:00.903Z,183
