batch_id,category,ingestion_timestamp,price,product_id,product_name,source_file,store_id,price_valid_flag,price_band,silver_processed_at
20260603,Pizza,2026-06-03T17:38:59.027416,299.0,P001,Margherita Pizza,products_S001_20260603.json,S001,VALID,Premium,2026-06-03T17:41:43.584Z
20260603,Pizza,2026-06-03T17:38:59.027416,399.0,P002,Farmhouse Pizza,products_S001_20260603.json,S001,VALID,Premium,2026-06-03T17:41:43.584Z
20260603,Pizza,2026-06-03T17:38:59.027416,499.0,P003,Veg Extravaganza,products_S001_20260603.json,S001,VALID,Luxury,2026-06-03T17:41:43.584Z
20260603,Pizza,2026-06-03T17:38:59.027416,449.0,P004,Peppy Paneer,products_S001_20260603.json,S001,VALID,Luxury,2026-06-03T17:41:43.584Z
20260603,Sides,2026-06-03T17:38:59.027416,149.0,P005,Garlic Bread,products_S001_20260603.json,S001,VALID,Mid,2026-06-03T17:41:43.584Z
20260603,Sides,2026-06-03T17:38:59.027416,199.0,P006,Stuffed Garlic Bread,products_S001_20260603.json,S001,VALID,Mid,2026-06-03T17:41:43.584Z
20260603,Beverage,2026-06-03T17:38:59.027416,60.0,P007,Coke,products_S001_20260603.json,S001,VALID,Budget,2026-06-03T17:41:43.584Z
20260603,Beverage,2026-06-03T17:38:59.027416,60.0,P008,Sprite,products_S001_20260603.json,S001,VALID,Budget,2026-06-03T17:41:43.584Z
20260603,Dessert,2026-06-03T17:38:59.027416,99.0,P009,Brownie,products_S001_20260603.json,S001,VALID,Mid,2026-06-03T17:41:43.584Z
20260603,Dessert,2026-06-03T17:38:59.027416,129.0,P010,Choco Lava Cake,products_S001_20260603.json,S001,VALID,Mid,2026-06-03T17:41:43.584Z
20260603,Sides,2026-06-03T17:38:59.027416,169.0,P011,Taco Mexicana,products_S001_20260603.json,S001,VALID,Mid,2026-06-03T17:41:43.584Z
20260603,Sides,2026-06-03T17:38:59.027416,49.0,P012,Cheese Dip,products_S001_20260603.json,S001,VALID,Budget,2026-06-03T17:41:43.584Z
20260603,Main,2026-06-03T17:38:59.027416,249.0,P013,Pasta,products_S001_20260603.json,S001,VALID,Premium,2026-06-03T17:41:43.584Z
20260603,Main,2026-06-03T17:38:59.027416,179.0,P014,Veg Burger,products_S001_20260603.json,S001,VALID,Mid,2026-06-03T17:41:43.584Z
20260603,Main,2026-06-03T17:38:59.027416,229.0,P015,Chicken Burger,products_S001_20260603.json,S001,VALID,Premium,2026-06-03T17:41:43.584Z
20260603,Sides,2026-06-03T17:38:59.027416,299.0,P016,Chicken Wings,products_S001_20260603.json,S001,VALID,Premium,2026-06-03T17:41:43.584Z
20260603,Dessert,2026-06-03T17:38:59.027416,149.0,P017,Mousse Cake,products_S001_20260603.json,S001,VALID,Mid,2026-06-03T17:41:43.584Z
20260603,Beverage,2026-06-03T17:38:59.027416,89.0,P018,Iced Tea,products_S001_20260603.json,S001,VALID,Mid,2026-06-03T17:41:43.584Z
20260603,Beverage,2026-06-03T17:38:59.027416,20.0,P019,Water Bottle,products_S001_20260603.json,S001,VALID,Budget,2026-06-03T17:41:43.584Z
20260603,Main,2026-06-03T17:38:59.027416,199.0,P020,Paneer Wrap,products_S001_20260603.json,S001,VALID,Mid,2026-06-03T17:41:43.584Z
