batch_id,ingestion_timestamp,line_amount,order_id,product_id,quantity,source_file,store_id,unit_price,order_item_sk,reject_reason,quarantine_at,silver_processed_at
20260603,2026-06-03T17:38:59.027416,1497.0,O00019,P003,3,order_items_S001_20260603.json,S001,499.0,S001_O00019_P003,ORPHAN_ORDER_ID,2026-06-03T17:43:09.474Z,2026-06-03T17:43:09.474Z
20260603,2026-06-03T17:38:59.027416,1347.0,O00019,P004,3,order_items_S001_20260603.json,S001,449.0,S001_O00019_P004,ORPHAN_ORDER_ID,2026-06-03T17:43:09.474Z,2026-06-03T17:43:09.474Z
20260603,2026-06-03T17:38:59.027416,180.0,O00019,P008,3,order_items_S001_20260603.json,S001,60.0,S001_O00019_P008,ORPHAN_ORDER_ID,2026-06-03T17:43:09.474Z,2026-06-03T17:43:09.474Z
20260603,2026-06-03T17:38:59.027416,598.0,O00019,P016,2,order_items_S001_20260603.json,S001,299.0,S001_O00019_P016,ORPHAN_ORDER_ID,2026-06-03T17:43:09.474Z,2026-06-03T17:43:09.474Z
20260603,2026-06-03T17:38:59.027416,89.0,O00019,P018,1,order_items_S001_20260603.json,S001,89.0,S001_O00019_P018,ORPHAN_ORDER_ID,2026-06-03T17:43:09.474Z,2026-06-03T17:43:09.474Z
20260603,2026-06-03T17:38:59.027416,798.0,O00023,P002,2,order_items_S001_20260603.json,S001,399.0,S001_O00023_P002,ORPHAN_ORDER_ID,2026-06-03T17:43:09.474Z,2026-06-03T17:43:09.474Z
20260603,2026-06-03T17:38:59.027416,387.0,O00023,P010,3,order_items_S001_20260603.json,S001,129.0,S001_O00023_P010,ORPHAN_ORDER_ID,2026-06-03T17:43:09.474Z,2026-06-03T17:43:09.474Z
20260603,2026-06-03T17:38:59.027416,747.0,O00023,P013,3,order_items_S001_20260603.json,S001,249.0,S001_O00023_P013,ORPHAN_ORDER_ID,2026-06-03T17:43:09.474Z,2026-06-03T17:43:09.474Z
20260603,2026-06-03T17:38:59.027416,179.0,O00023,P014,1,order_items_S001_20260603.json,S001,179.0,S001_O00023_P014,ORPHAN_ORDER_ID,2026-06-03T17:43:09.474Z,2026-06-03T17:43:09.474Z
20260603,2026-06-03T17:38:59.027416,598.0,O00039,P001,2,order_items_S001_20260603.json,S001,299.0,S001_O00039_P001,ORPHAN_ORDER_ID,2026-06-03T17:43:09.474Z,2026-06-03T17:43:09.474Z
20260603,2026-06-03T17:38:59.027416,998.0,O00039,P003,2,order_items_S001_20260603.json,S001,499.0,S001_O00039_P003,ORPHAN_ORDER_ID,2026-06-03T17:43:09.474Z,2026-06-03T17:43:09.474Z
20260603,2026-06-03T17:38:59.027416,449.0,O00039,P004,1,order_items_S001_20260603.json,S001,449.0,S001_O00039_P004,ORPHAN_ORDER_ID,2026-06-03T17:43:09.474Z,2026-06-03T17:43:09.474Z
20260603,2026-06-03T17:38:59.027416,120.0,O00039,P008,2,order_items_S001_20260603.json,S001,60.0,S001_O00039_P008,ORPHAN_ORDER_ID,2026-06-03T17:43:09.474Z,2026-06-03T17:43:09.474Z
20260603,2026-06-03T17:38:59.027416,598.0,O00046,P001,2,order_items_S001_20260603.json,S001,299.0,S001_O00046_P001,ORPHAN_ORDER_ID,2026-06-03T17:43:09.474Z,2026-06-03T17:43:09.474Z
20260603,2026-06-03T17:38:59.027416,1197.0,O00046,P002,3,order_items_S001_20260603.json,S001,399.0,S001_O00046_P002,ORPHAN_ORDER_ID,2026-06-03T17:43:09.474Z,2026-06-03T17:43:09.474Z
20260603,2026-06-03T17:38:59.027416,120.0,O00046,P007,2,order_items_S001_20260603.json,S001,60.0,S001_O00046_P007,ORPHAN_ORDER_ID,2026-06-03T17:43:09.474Z,2026-06-03T17:43:09.474Z
20260603,2026-06-03T17:38:59.027416,507.0,O00046,P011,3,order_items_S001_20260603.json,S001,169.0,S001_O00046_P011,ORPHAN_ORDER_ID,2026-06-03T17:43:09.474Z,2026-06-03T17:43:09.474Z
20260603,2026-06-03T17:38:59.027416,597.0,O00049,P006,3,order_items_S001_20260603.json,S001,199.0,S001_O00049_P006,ORPHAN_ORDER_ID,2026-06-03T17:43:09.474Z,2026-06-03T17:43:09.474Z
20260603,2026-06-03T17:38:59.027416,180.0,O00049,P008,3,order_items_S001_20260603.json,S001,60.0,S001_O00049_P008,ORPHAN_ORDER_ID,2026-06-03T17:43:09.474Z,2026-06-03T17:43:09.474Z
20260603,2026-06-03T17:38:59.027416,447.0,O00050,P005,3,order_items_S001_20260603.json,S001,149.0,S001_O00050_P005,ORPHAN_ORDER_ID,2026-06-03T17:43:09.474Z,2026-06-03T17:43:09.474Z
